Date,Open,High,Low,Close,Adj Close,Volume
2007-12-24,4.014286,4.088572,3.958571,3.987143,3.987143,3864000
2007-12-26,3.958571,4.145714,3.958571,4.100000,4.100000,6311900
2007-12-27,4.000000,4.034286,3.857143,3.921429,3.921429,11615800
2007-12-28,3.921429,3.958571,3.755714,3.847143,3.847143,7536900
2007-12-31,3.850000,3.897143,3.701429,3.802857,3.802857,10415300
2008-01-02,3.794286,3.892857,3.662857,3.764286,3.764286,12527900
2008-01-03,3.991429,4.042857,3.664286,3.724286,3.724286,21340200
2008-01-04,3.720000,3.795714,3.478571,3.515714,3.515714,17202500
2008-01-07,3.530000,3.564286,3.385714,3.554286,3.554286,12693800
2008-01-08,3.542857,3.552857,3.247143,3.328571,3.328571,14490000
2008-01-09,3.315714,3.357143,3.097143,3.285714,3.285714,15200500
2008-01-10,3.234286,3.571429,3.181429,3.528571,3.528571,13379100
2008-01-11,3.500000,3.521429,3.344286,3.344286,3.344286,8981700
2008-01-14,3.408571,3.492857,3.247143,3.252857,3.252857,16165800
2008-01-15,3.231429,3.307143,2.958571,3.150000,3.150000,37895200
2008-01-16,3.078571,3.222857,3.000000,3.152857,3.152857,17956400
2008-01-17,3.131428,3.227143,3.087143,3.110000,3.110000,11844000
2008-01-18,3.115714,3.238571,3.078571,3.121428,3.121428,12496400
2008-01-22,3.032857,3.247143,2.907143,3.175714,3.175714,14127400
2008-01-23,3.150000,3.400000,3.000000,3.394286,3.394286,29370600
2008-01-24,3.377143,3.392857,3.067143,3.134286,3.134286,38927000
2008-01-25,3.182857,3.244286,3.017143,3.110000,3.110000,19865300
2008-01-28,3.162857,3.285714,3.080000,3.284286,3.284286,11650100
2008-01-29,3.295714,3.322857,3.240000,3.308571,3.308571,7082600
2008-01-30,3.338571,3.358572,3.221429,3.277143,3.277143,9307200
2008-01-31,3.221429,3.621428,3.158571,3.592857,3.592857,23223900
2008-02-01,3.544286,3.657143,3.510000,3.627143,3.627143,12623100
2008-02-04,3.627143,3.737143,3.612857,3.698571,3.698571,11883900
2008-02-05,3.640000,3.678571,3.544286,3.608572,3.608572,8945300
2008-02-06,3.685714,3.842857,3.627143,3.717143,3.717143,15107400
2008-02-07,3.658571,3.840000,3.658571,3.835714,3.835714,16767100
2008-02-08,3.778571,3.857143,3.718571,3.840000,3.840000,10850700
2008-02-11,3.851429,3.864286,3.820000,3.841429,3.841429,9594900
2008-02-12,3.855714,3.895714,3.787143,3.842857,3.842857,7427700
2008-02-13,3.867143,3.907143,3.810000,3.901428,3.901428,7099400
2008-02-14,3.845714,3.880000,3.761429,3.821429,3.821429,6273400
2008-02-15,3.792857,3.824286,3.722857,3.800000,3.800000,6734700
2008-02-19,3.761429,3.942857,3.682857,3.827143,3.827143,9839200
2008-02-20,3.781429,3.972857,3.751429,3.924286,3.924286,12815600
2008-02-21,3.928571,3.998571,3.904286,3.981429,3.981429,7112000
2008-02-22,3.957143,3.998571,3.910000,3.971429,3.971429,5740000
2008-02-25,3.958571,4.028572,3.957143,4.000000,4.000000,6801900
2008-02-26,3.972857,4.214286,3.972857,4.142857,4.142857,16592100
2008-02-27,4.370000,4.648571,4.285714,4.632857,4.632857,41283200
2008-02-28,4.517143,4.901429,4.500000,4.505714,4.505714,35182700
